x, y, z
5.206107, 2.244275, 4.885496
-12.900764, -4.458015, -2.977099
18.229008, -3.221374, 7.251908
-9.053435, 0.702290, -1.786260
-3.465649, -0.854962, -1.557252
4.977099, -0.625954, 2.748092
-3.740458, 1.038168, -1.923664
2.809160, -0.061069, 0.885496
-1.328244, -1.175573, -0.473282
0.610687, 1.328244, -0.290076
-0.167939, 0.015267, 0.000000
0.717557, -0.748092, 0.045802
-0.687023, 0.763359, -0.473282
1.206107, 0.305344, 0.305344
-0.824427, -1.007634, -0.091603
0.213740, 0.900763, -0.122137
-0.366412, -0.198473, 0.030534
0.198473, -0.809160, -0.015267
-0.931298, 0.152672, 0.351145
0.076336, 0.534351, -0.320611
-0.106870, -1.221374, 0.198473
-0.213740, 0.274809, -0.030534
0.335878, 0.641221, 0.045802
0.259542, -0.656489, 0.076336
0.122137, 0.473282, -0.274809
-0.091603, 0.519084, 0.015267
0.366412, -0.824427, 0.061069
-0.366412, 0.335878, 0.183206
0.045802, 0.671756, -0.030534
-0.274809, -0.885496, 0.091603
0.167939, -0.152672, 0.106870
-0.305344, 0.687023, 0.167939
0.030534, -0.244275, -0.076336
-0.183206, -0.595420, 0.076336
-0.106870, 0.900763, -0.122137
0.091603, -0.473282, -0.091603
-0.259542, -0.488550, -0.137405
0.167939, 0.809160, -0.045802
-0.045802, -0.152672, 0.076336
-0.030534, -0.610687, -0.076336
-0.122137, 0.564885, 0.106870
0.137405, 0.167939, -0.015267
-0.061069, -0.763359, 0.259542
0.030534, 0.305344, -0.015267
0.045802, 0.351145, -0.076336
-0.106870, -0.717557, -0.137405
-0.015267, 0.427481, -0.045802
0.091603, 0.244275, 0.229008
0.076336, -0.625954, -0.015267
0.091603, 0.213740, -0.198473
0.030534, 0.488550, -0.076336
-0.015267, -0.549618, -0.152672
-0.106870, -0.045802, -0.015267
-0.106870, 0.534351, -0.045802
0.091603, -0.503817, 0.000000
-0.015267, 0.106870, 0.091603
0.000000, 0.625954, -0.106870
0.061069, -0.473282, 0.167939
-0.076336, -0.366412, -0.076336
0.061069, 0.610687, 0.076336
0.045802, -0.259542, 0.030534
-0.076336, -0.473282, -0.091603
0.045802, 0.503817, 0.091603
0.061069, -0.137405, -0.137405
0.000000, -0.305344, -0.061069
0.091603, 0.748092, 0.167939
-0.061069, -0.030534, -0.030534
